freq,psd_x,psd_y,psd_z,psd_xyz
168.0,2.027e+03,3.230e+02,5.456e+02,2.896e+03
169.6,1.563e+03,2.873e+02,4.336e+02,2.283e+03
171.1,1.008e+03,1.909e+02,2.962e+02,1.495e+03
172.6,8.192e+02,1.103e+02,2.108e+02,1.140e+03
174.2,5.829e+02,7.163e+01,1.628e+02,8.173e+02
175.7,4.581e+02,6.296e+01,1.489e+02,6.699e+02
177.3,3.747e+02,5.554e+01,1.421e+02,5.723e+02
178.8,3.248e+02,5.939e+01,1.670e+02,5.512e+02
180.3,3.340e+02,7.919e+01,1.970e+02,6.102e+02
181.9,3.072e+02,9.278e+01,2.319e+02,6.318e+02
183.4,2.419e+02,1.045e+02,2.725e+02,6.189e+02
185.0,2.217e+02,1.776e+02,3.333e+02,7.326e+02
186.5,2.972e+02,2.837e+02,4.091e+02,9.900e+02
188.1,3.900e+02,2.634e+02,3.833e+02,1.037e+03
189.6,3.019e+02,2.078e+02,3.968e+02,9.064e+02
191.1,3.510e+02,2.280e+02,4.283e+02,1.007e+03
192.7,4.037e+02,2.447e+02,4.483e+02,1.097e+03
194.2,4.730e+02,2.535e+02,4.707e+02,1.197e+03
195.8,5.663e+02,2.846e+02,5.233e+02,1.374e+03
197.3,6.523e+02,3.576e+02,5.709e+02,1.581e+03
198.8,8.498e+02,4.369e+02,6.673e+02,1.954e+03
