freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.909e+00,3.306e+02,2.871e+01,3.692e+02
1.5,5.051e+01,2.016e+02,3.311e+01,2.853e+02
3.1,5.880e+01,3.345e+01,2.153e+01,1.138e+02
4.6,6.201e+01,3.634e+02,2.100e+01,4.464e+02
6.2,6.066e+01,1.327e+03,2.030e+01,1.408e+03
7.7,5.365e+01,2.251e+03,2.078e+01,2.325e+03
9.3,5.262e+01,3.273e+03,1.946e+01,3.345e+03
10.8,5.547e+01,4.560e+03,2.026e+01,4.636e+03
12.3,6.077e+01,6.251e+03,2.245e+01,6.335e+03
13.9,6.122e+01,8.513e+03,2.325e+01,8.598e+03
15.4,6.848e+01,1.148e+04,2.688e+01,1.158e+04
17.0,6.599e+01,1.523e+04,3.517e+01,1.533e+04
18.5,6.005e+01,2.038e+04,6.700e+01,2.050e+04
20.0,6.711e+01,2.549e+04,1.550e+02,2.572e+04
21.6,7.153e+01,2.810e+04,2.492e+02,2.842e+04
23.1,6.864e+01,2.953e+04,3.055e+02,2.991e+04
24.7,7.464e+01,3.568e+04,1.967e+02,3.595e+04
26.2,7.735e+01,5.207e+04,9.478e+01,5.224e+04
27.8,8.346e+01,7.427e+04,4.744e+01,7.440e+04
29.3,1.177e+02,9.561e+04,2.739e+01,9.576e+04
30.8,1.517e+02,1.196e+05,3.202e+01,1.198e+05
32.4,1.704e+02,1.330e+05,9.325e+01,1.333e+05
33.9,2.914e+02,1.280e+05,3.211e+02,1.286e+05
35.5,3.503e+02,1.548e+05,4.948e+02,1.557e+05
37.0,3.151e+02,2.280e+05,8.029e+02,2.292e+05
38.5,3.975e+02,3.986e+05,1.948e+03,4.010e+05
40.1,5.205e+02,6.506e+05,5.075e+03,6.562e+05
41.6,4.197e+02,6.983e+05,1.260e+04,7.113e+05
43.2,2.415e+02,5.392e+05,2.144e+04,5.609e+05
44.7,1.500e+02,3.695e+05,2.384e+04,3.935e+05
46.3,1.257e+02,2.675e+05,2.133e+04,2.889e+05
47.8,1.326e+02,2.054e+05,2.020e+04,2.257e+05
49.3,1.349e+02,1.499e+05,2.001e+04,1.700e+05
50.9,1.192e+02,1.079e+05,2.179e+04,1.298e+05
52.4,1.145e+02,8.264e+04,2.567e+04,1.084e+05
54.0,1.040e+02,6.324e+04,3.044e+04,9.378e+04
55.5,1.403e+02,4.347e+04,3.870e+04,8.231e+04
57.1,2.399e+02,2.620e+04,5.106e+04,7.750e+04
58.6,4.483e+02,2.298e+04,7.083e+04,9.426e+04
60.1,1.215e+03,4.763e+04,1.007e+05,1.495e+05
61.7,2.628e+03,9.927e+04,1.293e+05,2.312e+05
63.2,3.456e+03,1.386e+05,1.248e+05,2.669e+05
64.8,3.200e+03,1.367e+05,9.326e+04,2.331e+05
66.3,2.810e+03,1.186e+05,6.793e+04,1.894e+05
67.8,3.209e+03,1.018e+05,5.287e+04,1.579e+05
69.4,4.619e+03,8.872e+04,4.258e+04,1.359e+05
70.9,6.393e+03,7.505e+04,3.403e+04,1.155e+05
72.5,6.188e+03,6.172e+04,2.738e+04,9.528e+04
74.0,3.956e+03,5.102e+04,2.295e+04,7.792e+04
75.6,2.367e+03,4.298e+04,2.040e+04,6.575e+04
77.1,1.952e+03,3.422e+04,1.732e+04,5.350e+04
78.6,1.660e+03,2.746e+04,1.407e+04,4.320e+04
80.2,1.742e+03,2.500e+04,1.100e+04,3.775e+04
81.7,1.796e+03,2.729e+04,8.467e+03,3.755e+04
83.3,1.476e+03,2.976e+04,6.151e+03,3.738e+04
84.8,9.283e+02,3.181e+04,4.537e+03,3.727e+04
86.3,4.870e+02,3.117e+04,3.082e+03,3.473e+04
87.9,3.962e+02,3.143e+04,1.813e+03,3.364e+04
89.4,4.780e+02,3.914e+04,9.342e+02,4.055e+04
91.0,4.688e+02,5.193e+04,7.807e+02,5.318e+04
92.5,3.937e+02,5.931e+04,9.542e+02,6.065e+04
94.1,5.448e+02,5.907e+04,9.829e+02,6.060e+04
95.6,5.044e+02,6.035e+04,1.007e+03,6.186e+04
97.1,2.626e+02,5.757e+04,5.754e+02,5.841e+04
98.7,1.824e+02,5.482e+04,2.234e+02,5.523e+04
100.2,1.449e+02,5.403e+04,2.499e+02,5.443e+04
101.8,1.345e+02,4.674e+04,1.038e+03,4.792e+04
103.3,1.743e+02,3.628e+04,3.181e+03,3.964e+04
104.9,1.850e+02,3.105e+04,4.912e+03,3.614e+04
106.4,3.466e+02,2.431e+04,5.595e+03,3.025e+04
107.9,7.302e+02,2.043e+04,6.141e+03,2.730e+04
109.5,1.140e+03,1.818e+04,5.850e+03,2.517e+04
111.0,1.272e+03,1.721e+04,5.178e+03,2.366e+04
112.6,1.159e+03,1.760e+04,4.635e+03,2.340e+04
114.1,1.129e+03,2.022e+04,3.892e+03,2.524e+04
115.6,1.147e+03,2.428e+04,3.212e+03,2.864e+04
117.2,9.815e+02,2.901e+04,2.812e+03,3.280e+04
118.7,7.984e+02,3.255e+04,2.667e+03,3.601e+04
120.3,6.211e+02,3.505e+04,2.687e+03,3.836e+04
121.8,4.420e+02,3.628e+04,2.767e+03,3.949e+04
123.4,3.218e+02,3.606e+04,2.704e+03,3.909e+04
124.9,2.844e+02,3.558e+04,2.553e+03,3.842e+04
126.4,2.729e+02,3.624e+04,2.306e+03,3.882e+04
128.0,2.512e+02,3.710e+04,1.949e+03,3.930e+04
129.5,2.753e+02,3.873e+04,1.617e+03,4.062e+04
131.1,4.049e+02,4.069e+04,1.468e+03,4.256e+04
132.6,4.183e+02,2.745e+04,9.844e+02,2.886e+04
134.2,2.181e+02,3.878e+03,1.682e+02,4.264e+03
135.7,2.139e+02,6.631e+02,5.977e+01,9.368e+02
137.2,2.366e+02,7.218e+02,6.312e+01,1.022e+03
138.8,2.673e+02,7.306e+02,6.181e+01,1.060e+03
140.3,2.698e+02,7.541e+02,6.314e+01,1.087e+03
141.9,2.800e+02,7.536e+02,6.279e+01,1.096e+03
143.4,2.822e+02,8.020e+02,6.489e+01,1.149e+03
144.9,2.770e+02,9.061e+02,7.039e+01,1.253e+03
146.5,2.559e+02,9.523e+02,7.114e+01,1.279e+03
148.0,2.451e+02,9.981e+02,7.937e+01,1.323e+03
149.6,2.729e+02,1.149e+03,9.122e+01,1.513e+03
151.1,2.841e+02,1.270e+03,1.007e+02,1.655e+03
152.7,3.193e+02,1.198e+03,1.018e+02,1.619e+03
154.2,3.685e+02,1.127e+03,9.438e+01,1.590e+03
155.7,4.061e+02,1.093e+03,8.906e+01,1.588e+03
157.3,4.629e+02,1.166e+03,8.954e+01,1.719e+03
158.8,4.555e+02,1.242e+03,8.897e+01,1.786e+03
160.4,4.044e+02,1.286e+03,8.523e+01,1.775e+03
161.9,3.668e+02,1.241e+03,7.114e+01,1.678e+03
163.4,3.977e+02,1.168e+03,7.053e+01,1.636e+03
165.0,4.325e+02,1.167e+03,7.410e+01,1.674e+03
166.5,4.266e+02,1.262e+03,7.959e+01,1.768e+03
168.1,4.132e+02,1.381e+03,9.587e+01,1.890e+03
169.6,4.212e+02,1.463e+03,1.111e+02,1.995e+03
171.2,4.588e+02,1.711e+03,1.245e+02,2.294e+03
172.7,5.206e+02,2.099e+03,1.404e+02,2.760e+03
174.2,5.152e+02,2.051e+03,1.654e+02,2.731e+03
175.8,4.584e+02,1.845e+03,1.572e+02,2.460e+03
177.3,4.227e+02,1.717e+03,1.149e+02,2.254e+03
178.9,3.460e+02,1.592e+03,1.042e+02,2.042e+03
180.4,2.745e+02,1.480e+03,1.048e+02,1.859e+03
182.0,2.409e+02,1.439e+03,8.816e+01,1.769e+03
183.5,1.965e+02,1.353e+03,8.037e+01,1.630e+03
185.0,1.759e+02,1.207e+03,8.542e+01,1.468e+03
186.6,1.940e+02,9.949e+02,9.976e+01,1.289e+03
188.1,2.152e+02,9.063e+02,1.007e+02,1.222e+03
189.7,2.582e+02,9.182e+02,9.917e+01,1.276e+03
191.2,2.558e+02,1.134e+03,9.469e+01,1.485e+03
192.7,2.188e+02,1.372e+03,9.151e+01,1.683e+03
194.3,1.738e+02,1.686e+03,1.026e+02,1.962e+03
195.8,1.511e+02,1.777e+03,1.213e+02,2.050e+03
197.4,1.636e+02,1.649e+03,1.447e+02,1.957e+03
198.9,1.880e+02,1.802e+03,1.738e+02,2.163e+03
