freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.116e+02,8.507e+00,6.211e+00,5.264e+02
1.6,3.343e+02,2.380e+01,2.105e+01,3.792e+02
3.1,7.340e+01,2.363e+01,2.439e+01,1.214e+02
4.7,4.229e+02,2.527e+01,2.307e+01,4.712e+02
6.3,1.320e+03,2.506e+01,2.060e+01,1.366e+03
7.8,2.122e+03,2.675e+01,2.207e+01,2.171e+03
9.4,3.000e+03,2.569e+01,2.032e+01,3.046e+03
10.9,4.002e+03,2.735e+01,1.971e+01,4.049e+03
12.5,5.207e+03,2.829e+01,2.258e+01,5.258e+03
14.1,6.709e+03,2.954e+01,2.248e+01,6.761e+03
15.6,8.516e+03,3.220e+01,2.395e+01,8.572e+03
17.2,1.096e+04,3.521e+01,2.427e+01,1.102e+04
18.8,1.448e+04,3.791e+01,2.381e+01,1.454e+04
20.3,1.810e+04,4.114e+01,2.482e+01,1.816e+04
21.9,2.126e+04,4.317e+01,2.484e+01,2.133e+04
23.5,2.406e+04,4.665e+01,2.734e+01,2.413e+04
25.0,2.872e+04,4.171e+01,3.165e+01,2.879e+04
26.6,3.536e+04,4.115e+01,3.632e+01,3.543e+04
28.1,4.321e+04,4.892e+01,4.874e+01,4.331e+04
29.7,5.169e+04,7.665e+01,7.417e+01,5.184e+04
31.3,5.518e+04,1.424e+02,1.280e+02,5.545e+04
32.8,5.145e+04,1.893e+02,1.797e+02,5.182e+04
34.4,5.012e+04,1.229e+02,2.049e+02,5.045e+04
36.0,5.556e+04,8.129e+01,2.902e+02,5.593e+04
37.5,6.678e+04,1.071e+02,4.064e+02,6.730e+04
39.1,8.045e+04,1.601e+02,3.855e+02,8.099e+04
40.7,9.995e+04,2.375e+02,2.488e+02,1.004e+05
42.2,1.257e+05,3.606e+02,2.083e+02,1.263e+05
43.8,1.549e+05,5.036e+02,2.288e+02,1.556e+05
45.3,1.995e+05,6.369e+02,2.703e+02,2.004e+05
46.9,2.701e+05,8.458e+02,3.284e+02,2.713e+05
48.5,3.715e+05,1.012e+03,4.408e+02,3.730e+05
50.0,5.249e+05,1.038e+03,6.281e+02,5.265e+05
51.6,8.467e+05,1.171e+03,1.129e+03,8.490e+05
53.2,1.382e+06,2.106e+03,1.906e+03,1.386e+06
54.7,1.774e+06,3.268e+03,2.082e+03,1.779e+06
