freq,psd_x,psd_y,psd_z,psd_xyz
56.3,1.982e+06,3.408e+03,2.096e+03,1.988e+06
57.8,1.875e+06,2.587e+03,2.948e+03,1.881e+06
59.4,1.492e+06,1.628e+03,5.389e+03,1.499e+06
61.0,1.077e+06,2.186e+03,9.404e+03,1.088e+06
62.5,7.871e+05,6.210e+03,1.532e+04,8.086e+05
64.1,6.320e+05,1.352e+04,1.892e+04,6.644e+05
65.7,5.095e+05,1.581e+04,1.455e+04,5.399e+05
67.2,3.762e+05,1.218e+04,8.197e+03,3.965e+05
68.8,2.827e+05,8.759e+03,4.898e+03,2.964e+05
70.4,2.396e+05,7.654e+03,3.515e+03,2.507e+05
71.9,1.991e+05,8.631e+03,3.136e+03,2.109e+05
73.5,1.620e+05,9.851e+03,3.097e+03,1.749e+05
75.0,1.260e+05,8.291e+03,2.250e+03,1.366e+05
76.6,8.910e+04,5.356e+03,1.263e+03,9.572e+04
78.2,6.018e+04,2.930e+03,5.872e+02,6.370e+04
79.7,4.061e+04,1.740e+03,2.499e+02,4.260e+04
81.3,2.740e+04,1.358e+03,8.627e+01,2.885e+04
82.9,1.934e+04,1.323e+03,4.782e+01,2.072e+04
84.4,1.717e+04,1.446e+03,4.937e+01,1.867e+04
86.0,1.253e+04,1.193e+03,4.459e+01,1.377e+04
87.6,1.004e+04,9.163e+02,4.508e+01,1.100e+04
89.1,1.385e+04,7.307e+02,5.994e+01,1.464e+04
90.7,3.105e+04,1.102e+03,1.623e+02,3.232e+04
92.2,7.113e+04,3.437e+03,4.674e+02,7.503e+04
93.8,1.156e+05,8.615e+03,7.361e+02,1.250e+05
95.4,1.455e+05,1.177e+04,1.176e+03,1.584e+05
96.9,1.631e+05,1.431e+04,2.513e+03,1.799e+05
98.5,1.697e+05,1.661e+04,4.367e+03,1.906e+05
100.1,1.694e+05,1.320e+04,5.795e+03,1.884e+05
101.6,1.631e+05,8.555e+03,6.181e+03,1.778e+05
103.2,1.486e+05,5.097e+03,5.967e+03,1.596e+05
104.8,1.169e+05,2.692e+03,4.965e+03,1.245e+05
106.3,8.433e+04,1.357e+03,3.498e+03,8.919e+04
107.9,7.286e+04,1.019e+03,2.093e+03,7.597e+04
109.4,6.499e+04,1.012e+03,1.514e+03,6.751e+04
111.0,5.335e+04,8.629e+02,1.415e+03,5.563e+04
112.6,4.087e+04,9.009e+02,1.272e+03,4.304e+04
114.1,3.310e+04,1.449e+03,1.076e+03,3.562e+04
115.7,3.188e+04,2.562e+03,1.139e+03,3.558e+04
117.3,3.383e+04,3.264e+03,2.110e+03,3.920e+04
118.8,3.572e+04,3.351e+03,3.460e+03,4.253e+04
120.4,3.562e+04,3.050e+03,4.108e+03,4.278e+04
122.0,3.654e+04,2.808e+03,4.372e+03,4.372e+04
123.5,3.801e+04,2.837e+03,4.935e+03,4.578e+04
125.1,3.796e+04,2.713e+03,5.397e+03,4.607e+04
126.6,3.715e+04,2.719e+03,5.425e+03,4.529e+04
128.2,3.640e+04,2.935e+03,5.214e+03,4.455e+04
129.8,3.615e+04,3.310e+03,4.844e+03,4.430e+04
131.3,3.690e+04,3.557e+03,4.389e+03,4.484e+04
132.9,2.984e+04,2.905e+03,3.370e+03,3.612e+04
134.5,7.837e+03,7.421e+02,1.026e+03,9.605e+03
136.0,2.235e+03,2.005e+02,4.005e+02,2.836e+03
137.6,2.420e+03,2.743e+02,3.753e+02,3.070e+03
139.2,2.437e+03,3.766e+02,3.715e+02,3.186e+03
140.7,2.550e+03,4.091e+02,3.542e+02,3.314e+03
142.3,2.869e+03,4.152e+02,2.701e+02,3.554e+03
143.8,2.957e+03,3.809e+02,2.205e+02,3.559e+03
145.4,3.093e+03,3.142e+02,2.019e+02,3.609e+03
147.0,3.269e+03,3.035e+02,1.919e+02,3.765e+03
148.5,3.920e+03,3.310e+02,2.199e+02,4.471e+03
150.1,4.514e+03,3.851e+02,2.508e+02,5.149e+03
151.7,4.213e+03,3.832e+02,2.759e+02,4.872e+03
153.2,3.694e+03,3.392e+02,3.085e+02,4.341e+03
154.8,3.115e+03,2.795e+02,3.292e+02,3.723e+03
156.4,2.545e+03,2.218e+02,3.682e+02,3.135e+03
157.9,2.040e+03,1.973e+02,3.937e+02,2.631e+03
159.5,1.569e+03,1.745e+02,3.661e+02,2.110e+03
161.0,1.244e+03,1.440e+02,3.266e+02,1.714e+03
162.6,1.065e+03,1.074e+02,2.825e+02,1.455e+03
164.2,1.021e+03,9.153e+01,2.468e+02,1.359e+03
165.7,9.369e+02,1.067e+02,2.001e+02,1.244e+03
167.3,8.823e+02,2.312e+02,1.574e+02,1.271e+03
168.9,1.044e+03,3.127e+02,1.479e+02,1.504e+03
170.4,9.053e+02,1.233e+02,1.316e+02,1.160e+03
172.0,8.362e+02,8.690e+01,9.158e+01,1.015e+03
173.5,9.275e+02,9.986e+01,6.410e+01,1.091e+03
175.1,7.934e+02,1.202e+02,6.262e+01,9.762e+02
176.7,7.336e+02,1.206e+02,6.547e+01,9.197e+02
178.2,6.704e+02,9.193e+01,5.987e+01,8.222e+02
179.8,6.514e+02,9.610e+01,6.576e+01,8.133e+02
181.4,6.086e+02,1.066e+02,8.291e+01,7.981e+02
182.9,5.270e+02,1.112e+02,1.096e+02,7.478e+02
184.5,4.358e+02,1.224e+02,1.358e+02,6.940e+02
186.1,3.192e+02,1.351e+02,1.677e+02,6.220e+02
187.6,2.840e+02,1.303e+02,1.927e+02,6.070e+02
189.2,2.979e+02,1.594e+02,2.111e+02,6.685e+02
190.7,3.276e+02,2.085e+02,2.630e+02,7.991e+02
192.3,3.438e+02,2.159e+02,3.097e+02,8.694e+02
193.9,4.683e+02,2.488e+02,3.668e+02,1.084e+03
195.4,6.221e+02,3.175e+02,4.432e+02,1.383e+03
197.0,7.265e+02,3.673e+02,5.028e+02,1.597e+03
198.6,8.777e+02,4.403e+02,5.601e+02,1.878e+03
